Basic Features, employees	Basic Features
Basic Features, company age (months)	Basic Features
Basic Features, number of milestones in the CrunchBase profile	Basic Features
Basic Features, number of revisions on the company CrunchBase profile	Basic Features
Basic Features, number of TechCrunch articles about the company	Basic Features
Basic Features, number of competitors	Basic Features
Basic Features, number of competitors that got acquired	Basic Features
Basic Features, headquarter location	Basic Features
Basic Features, number of offices	Basic Features
Basic Features, number of products	Basic Features
Basic Features, number of providers	Basic Features
Financial Features, number of funding rounds	Financial Features
Financial Features, number of investments by the company	Financial Features
Financial Features, number of acquisitions by the company	Financial Features
Financial Features, number of venture capital firms investing in the company	Financial Features
Financial Features, number of private equity firms investing in the company	Financial Features
Financial Features, number of people with financial background investing in the company	Financial Features
Financial Features, number of key persons in the company with financial background	Financial Features
Financial Features, number of investors per funding round	Financial Features
Financial Features, amount of investment per funding round	Financial Features
Financial Features, amount of investment in this run	Financial Features
Managerial Features, number of companies founded by founders of the target company	Managerial Features
Managerial Features, number of successful companies by founders (being acquired or IPO)	Managerial Features
Managerial Features, founder's highest education	Managerial Features
Managerial Features, founder related experience (months)	Managerial Features
Managerial Features, associate with business side	Managerial Features
Managerial Features, technology side	Managerial Features
Managerial Features, sales side	Managerial Features
Managerial Features, marketing side	Managerial Features
Managerial Features, business development side	Managerial Features
Managerial Features, finance side	Managerial Features
Managerial Features, college ranking of the funder	Managerial Features
Managerial Features, founder's relationship to industry leader	Managerial Features
Managerial Features, degree of connections to industry leader	Managerial Features
Managerial Features, Innovation index for the funder (berkeley innovation index)	Managerial Features
Managerial Features, team skills sets	Managerial Features
Managerial Features, Team innovation index (Berkeley innovation index)	Managerial Features
Biotech Industry Segment, Food Industry	Biotech Industry Segment
Biotech Industry Segment, Animal Health	Biotech Industry Segment
Biotech Industry Segment, Pharmaceutical	Biotech Industry Segment
Biotech Industry Segment, Medical Decide	Biotech Industry Segment
Biotech Industry Segment, Diagnostics	Biotech Industry Segment
Biotech Industry Segment, Healthcare Services	Biotech Industry Segment
Food Industry, food	Food Industry
Animal Health, veterinary medicine	Animal Health
Animal Health, animal drug	Animal Health
Pharmaceutical, Pharmaceutical	Pharmaceutical
Pharmaceutical, therapeutic	Pharmaceutical
Pharmaceutical, drug	Pharmaceutical
Pharmaceutical, antibiotics	Pharmaceutical
Pharmaceutical, treatment	Pharmaceutical
