 Commercial  Medical Device , European Union (EU) ,,"D-Care BV principally engaged in the distribution of medical disposable products to hospitals and other healthcare customers throughout the Netherlands. Revenue in the year ended 31 December 2010 was €4.7m and the gross assets acquired are estimated to be €2 million. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Pharmaceutical ,,http://dcubeanalytics.com/ https://www.linkedin.com/company/3790968/ https://twitter.com/DcubeAnalytic https://twitter.com/DcubeAnalytic ,"D Cube helps brand, sales, marketing, and market access teams at life sciences companies manage their brands effectively across stakeholders and markets as well as population health managers at payer & provider organizations drive optimal clinical and financial outcomes using insights from our industry specific analytics platform Digital Discovery Suite™. Our Insights-as-a-Service solution delivered through our cloud based platform comes prebuilt with connectors to industry specific data sources & business process workflows to deliver precise and predictive insights across the value chain that empowers our customers to make confident and timely data driven decisions at an asset and/or functional level. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Diabetes  Health Care  Medical  Medical Device  mHealth  Personal Health , European Union (EU) ,https://www.d-eyecare.com/ https://www.facebook.com/deyecare?fref=ts https://www.linkedin.com/company/d-eye?trk=top_nav_home https://twitter.com/DEYE2015 https://twitter.com/DEYE2015 ,"Founded in 2015 as a spin off by Italian Incubator M31 Italia Srl and technology developer Si14, Spa of Padova Italy, the company has developed the first modern day smartphone based digital ophthalmascope bringing back a rebirth to clinical practice, the important 140 year old ophthalmoscopy examination.  The company’s first product, the D-EYE Retinal Screening System enables clinicians and organizations to perform mass health screenings and data collection to improve vital health examination services. Known as the “digital eye” into the state of the human body, the smartphone based D-EYE lens and on-board application allows anyone with minimal training to screen patients eyes for various health issues including Glaucoma, Diabetic Retinopathy and Macular Degeneration; three serious pathologies causing blindness of millions of people annually.  The on-board D-EYE application creates a detailed patient record that can be shared instantly with other clinicians anywhere there is a cellular or internet connection.  Today, D-EYE is being used by Ophthalmologists, Emergency Physicians, Neurologists, Pediatricians, to name a few vertical specialists that perform ophthalmoscopies everyday. Combined with Apple TV, medical schools and other teaching institutions are using D-EYE to teach students and rotating Residents about the retina through both shared and self examination.  With the basic on-board D-EYE application development completed , new investment will be used to develop needed Hipaa compliant institutional integration processes and service based revenue product development initiatives that include: •	Development required gold standard field of view stitching algorithm, a breakthrough smartphone and cloud based system (Single fee based revenue service via the web)
•	Develop and utilizing existing machine learned artificial intelligence algorithms for initial assessment in the field (Revenue based on millions of exams)
•	Global revenue based digital telehealth services insuring specific pathologies are monitored reducing growing high incidence of blindness from catastrophic disease (Revenue based reader service provided by contract based Board Certified Ophthalmology MD’s)
•	Integration exam and reader services with global EHR systems providing (revenue based auto integration from 3rd party clinicians)
•	Data aggregation and mining processes to track various diseases on a global basis (Revenue based use of data subscription) With offices in Padova Italy and Truckee California, D-EYE has developed relationships with hundreds of clinicians and dozens of institutions in the US and the EU who are leading the protocol development to best utilize the D-EYE Retinal System to close the gap between serious eye disease and missed patient diagnosis causing preventable blindness for millions of patients who do not have easy and prescribed scheduled access to eye examinations on a regular basis. D-EYE sells both directly to clinicians and institutions and has developed global distribution relationships in countries around the word including many EU countries, UK, Canada, Middle East, Japan, South Africa with medical device registration in process in China, Brazil, Chile and Argentina. D-EYE received FDA clearance and CE mark in late 2015, and recently completed 2nd year ISO 13485, 13485 Canada and 9001 audits in June and July 2017. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Medical , European Union (EU) ,http://www.d-gen.co.uk/ ,"D-Gen Ltd owns technology for use in applications in this field including diagnostic tests and potential therapeutics. D-GEN is a company focused on developing screening tests and diagnostics for prion diseases in humans and animals. Subsequent to the outbreak of BSE in the UK there has been a heightened awareness of prion diseases. Specifically, concern over a potential epidemic of vCJD (human prion disease) has led to the urgent need for rapid, sensitive and specific tissue and blood-based diagnostic tests. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care , European Union (EU) ,http://www.dhcl.org/ https://www.linkedin.com/company/d-health https://www.twitter.com/dhealthc https://www.twitter.com/dhealthc ,"D Health provides a comprehensive range of expert services for organisations seeking to grow their interests in digital health. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Hospital , Greater Los Angeles Area  West Coast  Western US ,http://discmdgroup.com/ https://www.facebook.com/pg/DISCmd/about/?ref=page_internal https://www.linkedin.com/company/d.i.s.c.-sports-and-spine-center/ http://www.twitter.com/DISCmd http://www.twitter.com/DISCmd ,"DISC Sports & Spine Center is one of the country’s leading facilities specializing in spine, orthopedics, and sports medicine. Established in 2006, DISC has quickly risen to global prominence and is cited by many as the gold standard in medicine. Featuring one of the nation’s most technologically advanced outpatient surgical centers, alongside next-generation diagnostics, non-surgical conservative care, pain management and rehabilitation, DISC was founded upon a commitment to provide an unmatched continuity of care in order to help patients restore motion and function for a rapid return to an active lifestyle. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Health Care  Medical , Greater New York Area  East Coast  Northeastern US ,http://d-kimia.com/ https://www.linkedin.com/company-beta/3362836/ ,"D-Kimia develops novel diagnostic solutions to detect a broad range of diseases by targeting the nucleic acid signature of the disease. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Medical ,,https://www.google.com/finance?q=NASDAQ:DMED http://www.dmedicalindustries.com http://www.linkedin.com/company/d-medical-industries-ltd https://www.google.com/finance?q=NASDAQ:DMED https://www.google.com/finance?q=NASDAQ:DMED ,"D Medical Industries Ltd is an Israel-based company that, through its subsidiaries, is engaged in the research, development, manufacture and sale of products for diabetes treatment and drug delivery. It develops durable and semi-disposable insulin pumps, which infuse insulin into a patient’s body using its proprietary spring-based delivery technology. The company’s products primarily include Spring Zone Pump, Spring Universal Infusion Sets, and Spring Hybrid Patch Pump. D. Medical Industries Ltd. sells its Spring Universal Infusion sets to distributors in the United States, Canada, the Netherlands and Belgium, Poland, Greece, Sweden, and the Czech Republic. The Company operates through its subsidiaries, Spring Health Solutions Ltd, G-Sense Ltd, Spring- Set Health Solutions Ltd and Spring Health Solutions Inc. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Consumer  Funerals , Great Lakes  Midwestern US ,https://www.mccombandsons.com/ https://www.facebook.com/pg/DOMcComb/about/?ref=page_internal https://twitter.com/domccomb https://twitter.com/domccomb ,"D.O. McComb & Sons, Inc. provides funeral and cremation services to residents in the Fort Wayne community. The company offers a range of funeral options that include burial services and cremations. It provides merchandise, video tributes, portraits and photo collages, reception services, personalization, and death certificates. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Hospital  Medical  Medical Device ,,http://www.idor.org/en/home-page https://www.facebook.com/DOrInstitute/ https://br.linkedin.com/in/jomoll ,"IDOR is a private and nonprofit organization whose aim is to promote scientific research and technological progress in healthcare and excellence in education. The institute was founded in 2010 by the physicians Jorge Moll and Fernanda Tovar-Moll. Its modern headquarter is located in Botafogo, Rio de Janeiro. IDOR has facilities and state-of-the-art equipment for scientific research and is partially supported by the Rede D’Or São Luiz hospitals group, its main sponsor. IDOR also coordinates activities of education and innovation from the Rede D’Or São Luiz, creating opportunities for the interaction between other academic and technological institutions. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
